symbol,lastPrice,pChange,change
COALINDIA,450.45,1.2,5.35
ONGC,284.65,0.96,2.7
POWERGRID,296.1,0.2,0.6
RELIANCE,1343.9,-0.3,-4.1
TITAN,3951.4,-0.52,-20.6
TECHM,1384.0,-0.52,-7.2
MARUTI,12306.0,-0.67,-83.0
JSWSTEEL,1122.5,-0.69,-7.8
HINDUNILVR,2055.2,-0.93,-19.2
INFY,1250.6,-1.25,-15.8
TCS,2358.9,-1.29,-30.9
NESTLEIND,1174.8,-1.54,-18.4
HCLTECH,1341.6,-1.67,-22.8
LT,3504.1,-1.85,-65.9
WIPRO,187.64,-2.07,-3.96
SUNPHARMA,1757.2,-2.08,-37.4
NTPC,370.65,-2.1,-7.95
ASIANPAINT,2165.2,-2.17,-48.0
ICICIBANK,1205.9,-2.26,-27.9
ITC,287.7,-2.33,-6.85
ULTRACEMCO,10745.0,-2.87,-318.0
M&M,2954.7,-2.97,-90.4
KOTAKBANK,353.4,-3.03,-11.05
ADANIENT,1758.8,-3.52,-64.2
HDFCBANK,731.55,-3.62,-27.45
AXISBANK,1161.3,-3.64,-43.9
BHARTIARTL,1782.4,-3.65,-67.6
SBIN,979.4,-3.91,-39.8
BAJFINANCE,801.55,-5.01,-42.25
INDUSINDBK,752.45,-5.06,-40.1
